item,report_date,pettah_wholesale_today,narahenpita_retail_today,import
Beans,3/16/2023,200,360,
Carrot,3/16/2023,100,200,
Cabbage,3/16/2023,50,160,
Tomato,3/16/2023,180,280,
Brinjal,3/16/2023,100,280,
Pumpkin,3/16/2023,60,120,
Snake gourd,3/16/2023,150,320,
Green Chilli,3/16/2023,300,500,
Lime,3/16/2023,130,280,
Red Onion (Local),3/16/2023,305,,
Red Onion (lmp),3/16/2023,282,400,
Big Onion (Local),3/16/2023,,,
Big Onion (Imp),3/16/2023,104,120,
Potato (Local),3/16/2023,251,320,
Potato (Imp),3/16/2023,128,140,
Dried Chilli (Imp),3/16/2023,1083,1120,
Coconut,3/16/2023,95,110,
Coconut oil,3/16/2023,692,722,
Red Dhal,3/16/2023,323,340,
Sugar,3/16/2023,197,200,
Egg,3/16/2023,44,,
Katta,3/16/2023,1800,2900,
Sprat (Imp),3/16/2023,800,1600,
Banana (Sour),3/16/2023,160,260,
Papaw,3/16/2023,300,400,
Pineapple,3/16/2023,,600,
Apple (Imp),3/16/2023,,300,
Orange (Imp),3/16/2023,,200,
Samba,3/16/2023,208,225,
Nadu,3/16/2023,185,220,no
Kekulu (White),3/16/2023,179,195,
Kekulu (Red),3/16/2023,173,175,
Ponni Samba (Imp),3/16/2023,205,225,
Nadu,3/16/2023,175,195,no
Kekulu (White) (Imp),3/16/2023,167,195,
Kelawalla,3/16/2023,750,1680,
Thalapath,3/16/2023,1300,,
Balaya,3/16/2023,750,,
Paraw,3/16/2023,1000,1360,
Salaya,3/16/2023,280,400,
Hurulla,3/16/2023,800,1040,
Linna,3/16/2023,700,830,
Beans,3/15/2023,250,360,
Carrot,3/15/2023,100,180,
Cabbage,3/15/2023,50,160,
Tomato,3/15/2023,180,280,
Brinjal,3/15/2023,130,240,
Pumpkin,3/15/2023,60,140,
Snake gourd,3/15/2023,130,360,
Green Chilli,3/15/2023,250,500,
Lime,3/15/2023,130,280,
Red Onion (Local),3/15/2023,313,,
Red Onion (lmp),3/15/2023,290,400,
Big Onion (Local),3/15/2023,,,
Big Onion (Imp),3/15/2023,96,120,
Potato (Local),3/15/2023,259,360,
Potato (Imp),3/15/2023,124,140,
Dried Chilli (Imp),3/15/2023,1043,1120,
Coconut,3/15/2023,95,110,
Coconut oil,3/15/2023,692,722,
Red Dhal,3/15/2023,313,340,
Sugar,3/15/2023,192,200,
Egg,3/15/2023,44,,
Katta,3/15/2023,1800,2900,
Sprat (Imp),3/15/2023,800,1600,
Banana (Sour),3/15/2023,160,280,
Papaw,3/15/2023,300,400,
Pineapple,3/15/2023,,600,
Apple (Imp),3/15/2023,,300,
Orange (Imp),3/15/2023,,200,
Samba,3/15/2023,208,225,
Nadu,3/15/2023,188,220,no
Kekulu (White),3/15/2023,178,195,
Kekulu (Red),3/15/2023,173,175,
Ponni Samba (Imp),3/15/2023,205,225,
Nadu,3/15/2023,175,195,no
Kekulu (White) (Imp),3/15/2023,167,195,
Kelawalla,3/15/2023,800,1680,
Thalapath,3/15/2023,1200,,
Balaya,3/15/2023,800,900,
Paraw,3/15/2023,1000,1580,
Salaya,3/15/2023,320,580,
Hurulla,3/15/2023,750,1100,
Linna,3/15/2023,730,960,
Beans,3/14/2023,250,360,
Carrot,3/14/2023,100,180,
Cabbage,3/14/2023,50,160,
Tomato,3/14/2023,180,280,
Brinjal,3/14/2023,150,280,
Pumpkin,3/14/2023,60,140,
Snake gourd,3/14/2023,130,360,
Green Chilli,3/14/2023,250,600,
Lime,3/14/2023,130,300,
Red Onion (Local),3/14/2023,325,,
Red Onion (lmp),3/14/2023,293,400,
Big Onion (Local),3/14/2023,,,
Big Onion (Imp),3/14/2023,93,120,
Potato (Local),3/14/2023,259,360,
Potato (Imp),3/14/2023,120,140,
Dried Chilli (Imp),3/14/2023,1033,1120,
Coconut,3/14/2023,95,110,
Coconut oil,3/14/2023,692,722,
Red Dhal,3/14/2023,313,340,
Sugar,3/14/2023,188,195,
Egg,3/14/2023,44,,
Katta,3/14/2023,1800,2900,
Sprat (Imp),3/14/2023,800,1600,
Banana (Sour),3/14/2023,180,270,
Papaw,3/14/2023,300,400,
Pineapple,3/14/2023,,600,
Apple (Imp),3/14/2023,,240,
Orange (Imp),3/14/2023,,170,
Samba,3/14/2023,205,230,
Nadu,3/14/2023,185,220,no
Kekulu (White),3/14/2023,178,195,
Kekulu (Red),3/14/2023,173,175,
Ponni Samba (Imp),3/14/2023,203,225,
Nadu,3/14/2023,175,195,no
Kekulu (White) (Imp),3/14/2023,168,195,
Kelawalla,3/14/2023,950,1600,
Thalapath,3/14/2023,1400,1740,
Balaya,3/14/2023,800,900,
Paraw,3/14/2023,,1580,
Salaya,3/14/2023,450,580,
Hurulla,3/14/2023,850,1100,
Linna,3/14/2023,850,990,
Beans,3/13/2023,250,360,
Carrot,3/13/2023,100,180,
Cabbage,3/13/2023,50,160,
Tomato,3/13/2023,160,280,
Brinjal,3/13/2023,150,280,
Pumpkin,3/13/2023,70,140,
Snake gourd,3/13/2023,130,360,
Green Chilli,3/13/2023,300,600,
Lime,3/13/2023,130,280,
Red Onion (Local),3/13/2023,308,,
Red Onion (lmp),3/13/2023,283,400,
Big Onion (Local),3/13/2023,,,
Big Onion (Imp),3/13/2023,92,120,
Potato (Local),3/13/2023,247,360,
Potato (Imp),3/13/2023,120,140,
Dried Chilli (Imp),3/13/2023,1027,1160,
Coconut,3/13/2023,95,110,
Coconut oil,3/13/2023,692,722,
Red Dhal,3/13/2023,318,340,
Sugar,3/13/2023,188,195,
Egg,3/13/2023,44,,
Katta,3/13/2023,1800,2900,
Sprat (Imp),3/13/2023,800,1600,
Banana (Sour),3/13/2023,180,280,
Papaw,3/13/2023,300,400,
Pineapple,3/13/2023,,600,
Apple (Imp),3/13/2023,,240,
Orange (Imp),3/13/2023,,170,
Samba,3/13/2023,205,230,
Nadu,3/13/2023,187,220,no
Kekulu (White),3/13/2023,176,195,
Kekulu (Red),3/13/2023,172,175,
Ponni Samba (Imp),3/13/2023,195,225,
Nadu,3/13/2023,175,195,no
Kekulu (White) (Imp),3/13/2023,170,195,
Kelawalla,3/13/2023,950,1500,
Thalapath,3/13/2023,1300,1700,
Balaya,3/13/2023,750,,
Paraw,3/13/2023,1300,1580,
Salaya,3/13/2023,480,600,
Hurulla,3/13/2023,950,,
Linna,3/13/2023,850,990,
Beans,3/10/2023,300,320,
Carrot,3/10/2023,100,200,
Cabbage,3/10/2023,50,160,
Tomato,3/10/2023,130,240,
Brinjal,3/10/2023,130,280,
Pumpkin,3/10/2023,80,120,
Snake gourd,3/10/2023,130,320,
Green Chilli,3/10/2023,320,500,
Lime,3/10/2023,100,280,
Red Onion (Local),3/10/2023,263,,
Red Onion (lmp),3/10/2023,276,480,
Big Onion (Local),3/10/2023,,,
Big Onion (Imp),3/10/2023,92,130,
Potato (Local),3/10/2023,243,360,
Potato (Imp),3/10/2023,120,160,
Dried Chilli (Imp),3/10/2023,1036,1160,
Coconut,3/10/2023,95,110,
Coconut oil,3/10/2023,692,722,
Red Dhal,3/10/2023,320,350,
Sugar,3/10/2023,189,220,
Egg,3/10/2023,43,44,
Katta,3/10/2023,1800,2900,
Sprat (Imp),3/10/2023,800,1600,
Banana (Sour),3/10/2023,180,280,
Papaw,3/10/2023,300,400,
Pineapple,3/10/2023,,600,
Apple (Imp),3/10/2023,,300,
Orange (Imp),3/10/2023,,200,
Samba,3/10/2023,205,230,
Nadu,3/10/2023,185,210,no
Kekulu (White),3/10/2023,178,195,
Kekulu (Red),3/10/2023,171,175,
Ponni Samba (Imp),3/10/2023,202,225,
Nadu,3/10/2023,175,190,no
Kekulu (White) (Imp),3/10/2023,170,195,
Kelawalla,3/10/2023,900,1680,
Thalapath,3/10/2023,,1680,
Balaya,3/10/2023,700,,
Paraw,3/10/2023,1000,1560,
Salaya,3/10/2023,570,660,
Hurulla,3/10/2023,750,,
Linna,3/10/2023,800,890,
Beans,3/9/2023,300,360,
Carrot,3/9/2023,100,200,
Cabbage,3/9/2023,50,160,
Tomato,3/9/2023,150,240,
Brinjal,3/9/2023,150,320,
Pumpkin,3/9/2023,80,120,
Snake gourd,3/9/2023,130,320,
Green Chilli,3/9/2023,350,500,
Lime,3/9/2023,100,280,
Red Onion (Local),3/9/2023,280,,
Red Onion (lmp),3/9/2023,282,480,
Big Onion (Local),3/9/2023,,,
Big Onion (Imp),3/9/2023,96,130,
Potato (Local),3/9/2023,253,320,
Potato (Imp),3/9/2023,123,160,
Dried Chilli (Imp),3/9/2023,1038,1160,
Coconut,3/9/2023,95,110,
Coconut oil,3/9/2023,692,722,
Red Dhal,3/9/2023,320,350,
Sugar,3/9/2023,191,220,
Egg,3/9/2023,43,,
Katta,3/9/2023,1800,2900,
Sprat (Imp),3/9/2023,800,1600,
Banana (Sour),3/9/2023,180,280,
Papaw,3/9/2023,280,400,
Pineapple,3/9/2023,,600,
Apple (Imp),3/9/2023,,300,
Orange (Imp),3/9/2023,,200,
Samba,3/9/2023,205,230,
Nadu,3/9/2023,184,210,no
Kekulu (White),3/9/2023,176,195,
Kekulu (Red),3/9/2023,171,175,
Ponni Samba (Imp),3/9/2023,203,225,
Nadu,3/9/2023,175,190,no
Kekulu (White) (Imp),3/9/2023,172,195,
Kelawalla,3/9/2023,850,1680,
Thalapath,3/9/2023,1250,1800,
Balaya,3/9/2023,,1040,
Paraw,3/9/2023,1100,,
Salaya,3/9/2023,500,600,
Hurulla,3/9/2023,,,
Linna,3/9/2023,750,860,
Beans,3/8/2023,320,320,
Carrot,3/8/2023,120,200,
Cabbage,3/8/2023,70,160,
Tomato,3/8/2023,130,240,
Brinjal,3/8/2023,240,280,
Pumpkin,3/8/2023,80,120,
Snake gourd,3/8/2023,130,320,
Green Chilli,3/8/2023,350,600,
Lime,3/8/2023,100,320,
Red Onion (Local),3/8/2023,287,,
Red Onion (lmp),3/8/2023,298,440,
Big Onion (Local),3/8/2023,,,
Big Onion (Imp),3/8/2023,99,130,
Potato (Local),3/8/2023,254,300,
Potato (Imp),3/8/2023,101,140,
Dried Chilli (Imp),3/8/2023,1167,1200,
Coconut,3/8/2023,95,110,
Coconut oil,3/8/2023,678,722,
Red Dhal,3/8/2023,342,360,
Sugar,3/8/2023,202,230,
Egg,3/8/2023,44,44,
Katta,3/8/2023,1800,2900,
Sprat (Imp),3/8/2023,1000,1600,
Banana (Sour),3/8/2023,180,270,
Papaw,3/8/2023,250,400,
Pineapple,3/8/2023,,600,
Apple (Imp),3/8/2023,,250,
Orange (Imp),3/8/2023,,180,
Samba,3/8/2023,205,230,
Nadu,3/8/2023,186,220,no
Kekulu (White),3/8/2023,176,210,
Kekulu (Red),3/8/2023,175,190,
Ponni Samba (Imp),3/8/2023,200,225,
Nadu,3/8/2023,178,,no
Kekulu (White) (Imp),3/8/2023,168,195,
Kelawalla,3/8/2023,850,,
Thalapath,3/8/2023,1200,1680,
Balaya,3/8/2023,750,1040,
Paraw,3/8/2023,1100,1300,
Salaya,3/8/2023,400,540,
Hurulla,3/8/2023,750,,
Linna,3/8/2023,720,860,
Beans,3/7/2023,300,360,
Carrot,3/7/2023,120,200,
Cabbage,3/7/2023,60,160,
Tomato,3/7/2023,150,280,
Brinjal,3/7/2023,220,320,
Pumpkin,3/7/2023,80,160,
Snake gourd,3/7/2023,130,360,
Green Chilli,3/7/2023,350,600,
Lime,3/7/2023,110,300,
Red Onion (Local),3/7/2023,293,,
Red Onion (lmp),3/7/2023,298,440,
Big Onion (Local),3/7/2023,,,
Big Onion (Imp),3/7/2023,97,130,
Potato (Local),3/7/2023,253,300,
Potato (Imp),3/7/2023,103,140,
Dried Chilli (Imp),3/7/2023,1183,1200,
Coconut,3/7/2023,95,110,
Coconut oil,3/7/2023,676,722,
Red Dhal,3/7/2023,342,360,
Sugar,3/7/2023,207,230,
Egg,3/7/2023,44,44,
Katta,3/7/2023,1800,2900,
Sprat (Imp),3/7/2023,1000,1600,
Banana (Sour),3/7/2023,180,280,
Papaw,3/7/2023,250,400,
Pineapple,3/7/2023,,600,
Apple (Imp),3/7/2023,,250,
Orange (Imp),3/7/2023,,180,
Samba,3/7/2023,208,230,
Nadu,3/7/2023,186,220,no
Kekulu (White),3/7/2023,184,210,
Kekulu (Red),3/7/2023,175,190,
Ponni Samba (Imp),3/7/2023,200,225,
Nadu,3/7/2023,178,,no
Kekulu (White) (Imp),3/7/2023,170,195,
Kelawalla,3/7/2023,,2100,
Thalapath,3/7/2023,1250,1800,
Balaya,3/7/2023,725,990,
Paraw,3/7/2023,1100,1840,
Salaya,3/7/2023,430,580,
Hurulla,3/7/2023,800,,
Linna,3/7/2023,900,990,
Beans,3/3/2023,300,400,
Carrot,3/3/2023,120,260,
Cabbage,3/3/2023,60,160,
Tomato,3/3/2023,150,260,
Brinjal,3/3/2023,250,340,
Pumpkin,3/3/2023,80,140,
Snake gourd,3/3/2023,150,300,
Green Chilli,3/3/2023,250,600,
Lime,3/3/2023,110,280,
Red Onion (Local),3/3/2023,293,,
Red Onion (lmp),3/3/2023,293,480,
Big Onion (Local),3/3/2023,,,
Big Onion (Imp),3/3/2023,103,130,
Potato (Local),3/3/2023,253,360,
Potato (Imp),3/3/2023,110,160,
Dried Chilli (Imp),3/3/2023,1183,1200,
Coconut,3/3/2023,95,110,
Coconut oil,3/3/2023,673,722,
Red Dhal,3/3/2023,342,360,
Sugar,3/3/2023,213,230,
Egg,3/3/2023,43,44,
Katta,3/3/2023,1800,2900,
Sprat (Imp),3/3/2023,1000,1600,
Banana (Sour),3/3/2023,200,260,
Papaw,3/3/2023,250,380,
Pineapple,3/3/2023,,600,
Apple (Imp),3/3/2023,,280,
Orange (Imp),3/3/2023,,200,
Samba,3/3/2023,208,230,
Nadu,3/3/2023,188,210,no
Kekulu (White),3/3/2023,183,210,
Kekulu (Red),3/3/2023,178,175,
Ponni Samba (Imp),3/3/2023,198,220,
Nadu,3/3/2023,178,,no
Kekulu (White) (Imp),3/3/2023,168,190,
Kelawalla,3/3/2023,900,1680,
Thalapath,3/3/2023,1200,1620,
Balaya,3/3/2023,650,960,
Paraw,3/3/2023,1100,1500,
Salaya,3/3/2023,430,460,
Hurulla,3/3/2023,780,,
Linna,3/3/2023,750,860,
Beans,3/2/2023,350,400,
Carrot,3/2/2023,120,240,
Cabbage,3/2/2023,60,160,
Tomato,3/2/2023,150,260,
Brinjal,3/2/2023,250,360,
Pumpkin,3/2/2023,80,140,
Snake gourd,3/2/2023,150,320,
Green Chilli,3/2/2023,300,600,
Lime,3/2/2023,100,300,
Red Onion (Local),3/2/2023,280,,
Red Onion (lmp),3/2/2023,295,480,
Big Onion (Local),3/2/2023,,,
Big Onion (Imp),3/2/2023,103,130,
Potato (Local),3/2/2023,255,360,
Potato (Imp),3/2/2023,109,160,
Dried Chilli (Imp),3/2/2023,1138,1200,
Coconut,3/2/2023,95,110,
Coconut oil,3/2/2023,673,722,
Red Dhal,3/2/2023,342,360,
Sugar,3/2/2023,217,230,
Egg,3/2/2023,44,44,
Katta,3/2/2023,1800,2900,
Sprat (Imp),3/2/2023,1000,1600,
Banana (Sour),3/2/2023,200,260,
Papaw,3/2/2023,250,330,
Pineapple,3/2/2023,,550,
Apple (Imp),3/2/2023,,330,
Orange (Imp),3/2/2023,,200,
Samba,3/2/2023,205,230,
Nadu,3/2/2023,190,220,no
Kekulu (White),3/2/2023,186,195,
Kekulu (Red),3/2/2023,175,175,
Ponni Samba (Imp),3/2/2023,202,220,
Nadu,3/2/2023,178,,no
Kekulu (White) (Imp),3/2/2023,172,190,
Kelawalla,3/2/2023,1200,1680,
Thalapath,3/2/2023,1400,1620,
Balaya,3/2/2023,650,960,
Paraw,3/2/2023,1100,,
Salaya,3/2/2023,520,500,
Hurulla,3/2/2023,780,1040,
Linna,3/2/2023,700,800,
Beans,3/1/2023,300,320,
Carrot,3/1/2023,120,240,
Cabbage,3/1/2023,50,120,
Tomato,3/1/2023,150,240,
Brinjal,3/1/2023,230,330,
Pumpkin,3/1/2023,80,120,
Snake gourd,3/1/2023,150,320,
Green Chilli,3/1/2023,400,510,
Lime,3/1/2023,100,340,
Red Onion (Local),3/1/2023,310,,
Red Onion (lmp),3/1/2023,295,440,
Big Onion (Local),3/1/2023,,,
Big Onion (Imp),3/1/2023,101,130,
Potato (Local),3/1/2023,260,360,
Potato (Imp),3/1/2023,110,160,
Dried Chilli (Imp),3/1/2023,1138,1200,
Coconut,3/1/2023,95,110,
Coconut oil,3/1/2023,673,722,
Red Dhal,3/1/2023,342,360,
Sugar,3/1/2023,217,230,
Egg,3/1/2023,44,44,
Katta,3/1/2023,1800,2900,
Sprat (Imp),3/1/2023,1000,1600,
Banana (Sour),3/1/2023,200,260,
Papaw,3/1/2023,250,380,
Pineapple,3/1/2023,,550,
Apple (Imp),3/1/2023,,350,
Orange (Imp),3/1/2023,,140,
Samba,3/1/2023,208,230,
Nadu,3/1/2023,188,220,no
Kekulu (White),3/1/2023,186,210,
Kekulu (Red),3/1/2023,175,175,
Ponni Samba (Imp),3/1/2023,202,220,
Nadu,3/1/2023,178,,no
Kekulu (White) (Imp),3/1/2023,173,190,
Kelawalla,3/1/2023,1100,1880,
Thalapath,3/1/2023,1400,1780,
Balaya,3/1/2023,700,900,
Paraw,3/1/2023,1000,2080,
Salaya,3/1/2023,450,500,
Hurulla,3/1/2023,750,,
Linna,3/1/2023,750,880,
Beans,2/28/2023,320,320,
Carrot,2/28/2023,120,240,
Cabbage,2/28/2023,50,120,
Tomato,2/28/2023,150,240,
Brinjal,2/28/2023,230,320,
Pumpkin,2/28/2023,80,120,
Snake gourd,2/28/2023,150,320,
Green Chilli,2/28/2023,350,500,
Lime,2/28/2023,100,320,
Red Onion (Local),2/28/2023,300,,
Red Onion (lmp),2/28/2023,295,440,
Big Onion (Local),2/28/2023,,,
Big Onion (Imp),2/28/2023,100,130,
Potato (Local),2/28/2023,260,360,
Potato (Imp),2/28/2023,103,160,
Dried Chilli (Imp),2/28/2023,1138,1200,
Coconut,2/28/2023,95,110,
Coconut oil,2/28/2023,673,722,
Red Dhal,2/28/2023,343,360,
Sugar,2/28/2023,217,230,
Egg,2/28/2023,44,44,
Katta,2/28/2023,1800,2900,
Sprat (Imp),2/28/2023,1000,1600,
Banana (Sour),2/28/2023,200,260,
Papaw,2/28/2023,250,380,
Pineapple,2/28/2023,,550,
Apple (Imp),2/28/2023,,350,
Orange (Imp),2/28/2023,,140,
Samba,2/28/2023,209,230,
Nadu,2/28/2023,188,220,no
Kekulu (White),2/28/2023,186,210,
Kekulu (Red),2/28/2023,175,175,
Ponni Samba (Imp),2/28/2023,198,220,
Nadu,2/28/2023,178,,no
Kekulu (White) (Imp),2/28/2023,172,190,
Kelawalla,2/28/2023,1100,1580,
Thalapath,2/28/2023,1300,1780,
Balaya,2/28/2023,600,,
Paraw,2/28/2023,800,,
Salaya,2/28/2023,350,480,
Hurulla,2/28/2023,750,1060,
Linna,2/28/2023,650,780,
Beans,2/27/2023,300,480,
Carrot,2/27/2023,120,240,
Cabbage,2/27/2023,50,160,
Tomato,2/27/2023,150,240,
Brinjal,2/27/2023,230,320,
Pumpkin,2/27/2023,80,140,
Snake gourd,2/27/2023,150,320,
Green Chilli,2/27/2023,300,400,
Lime,2/27/2023,100,360,
Red Onion (Local),2/27/2023,327,,
Red Onion (lmp),2/27/2023,290,440,
Big Onion (Local),2/27/2023,,,
Big Onion (Imp),2/27/2023,101,130,
Potato (Local),2/27/2023,260,360,
Potato (Imp),2/27/2023,115,160,
Dried Chilli (Imp),2/27/2023,1150,1200,
Coconut,2/27/2023,95,110,
Coconut oil,2/27/2023,673,722,
Red Dhal,2/27/2023,343,360,
Sugar,2/27/2023,218,230,
Egg,2/27/2023,44,44,
Katta,2/27/2023,1800,2900,
Sprat (Imp),2/27/2023,1000,1600,
Banana (Sour),2/27/2023,200,260,
Papaw,2/27/2023,260,380,
Pineapple,2/27/2023,,450,
Apple (Imp),2/27/2023,,330,
Orange (Imp),2/27/2023,,140,
Samba,2/27/2023,208,230,
Nadu,2/27/2023,189,220,no
Kekulu (White),2/27/2023,176,210,
Kekulu (Red),2/27/2023,171,175,
Ponni Samba (Imp),2/27/2023,196,215,
Nadu,2/27/2023,180,,no
Kekulu (White) (Imp),2/27/2023,168,190,
Kelawalla,2/27/2023,1200,1790,
Thalapath,2/27/2023,1200,1700,
Balaya,2/27/2023,700,980,
Paraw,2/27/2023,900,,
Salaya,2/27/2023,350,480,
Hurulla,2/27/2023,900,1100,
Linna,2/27/2023,650,780,
Beans,2/24/2023,300,400,
Carrot,2/24/2023,100,220,
Cabbage,2/24/2023,40,140,
Tomato,2/24/2023,150,240,
Brinjal,2/24/2023,200,280,
Pumpkin,2/24/2023,80,140,
Snake gourd,2/24/2023,150,320,
Green Chilli,2/24/2023,300,400,
Lime,2/24/2023,110,360,
Red Onion (Local),2/24/2023,322,,
Red Onion (lmp),2/24/2023,297,440,
Big Onion (Local),2/24/2023,,,
Big Onion (Imp),2/24/2023,109,140,
Potato (Local),2/24/2023,268,360,
Potato (Imp),2/24/2023,144,160,
Dried Chilli (Imp),2/24/2023,1138,1340,
Coconut,2/24/2023,95,110,
Coconut oil,2/24/2023,671,722,
Red Dhal,2/24/2023,340,360,
Sugar,2/24/2023,220,238,
Egg,2/24/2023,43,44,
Katta,2/24/2023,1800,2900,
Sprat (Imp),2/24/2023,1000,1600,
Banana (Sour),2/24/2023,200,260,
Papaw,2/24/2023,240,380,
Pineapple,2/24/2023,,450,
Apple (Imp),2/24/2023,,330,
Orange (Imp),2/24/2023,,140,
Samba,2/24/2023,205,230,
Nadu,2/24/2023,186,220,no
Kekulu (White),2/24/2023,170,210,
Kekulu (Red),2/24/2023,173,175,
Ponni Samba (Imp),2/24/2023,195,215,
Nadu,2/24/2023,175,190,no
Kekulu (White) (Imp),2/24/2023,166,180,
Kelawalla,2/24/2023,900,1960,
Thalapath,2/24/2023,1200,,
Balaya,2/24/2023,600,960,
Paraw,2/24/2023,850,1300,
Salaya,2/24/2023,300,480,
Hurulla,2/24/2023,700,990,
Linna,2/24/2023,750,880,
Beans,2/23/2023,350,400,
Carrot,2/23/2023,140,200,
Cabbage,2/23/2023,40,140,
Tomato,2/23/2023,140,240,
Brinjal,2/23/2023,150,280,
Pumpkin,2/23/2023,80,140,
Snake gourd,2/23/2023,150,320,
Green Chilli,2/23/2023,320,400,
Lime,2/23/2023,110,360,
Red Onion (Local),2/23/2023,322,,
Red Onion (lmp),2/23/2023,293,440,
Big Onion (Local),2/23/2023,,,
Big Onion (Imp),2/23/2023,95,140,
Potato (Local),2/23/2023,270,360,
Potato (Imp),2/23/2023,123,160,
Dried Chilli (Imp),2/23/2023,1138,1360,
Coconut,2/23/2023,95,110,
Coconut oil,2/23/2023,671,722,
Red Dhal,2/23/2023,342,360,
Sugar,2/23/2023,220,238,
Egg,2/23/2023,43,44,
Katta,2/23/2023,1800,2900,
Sprat (Imp),2/23/2023,1000,1600,
Banana (Sour),2/23/2023,200,260,
Papaw,2/23/2023,240,380,
Pineapple,2/23/2023,,450,
Apple (Imp),2/23/2023,,330,
Orange (Imp),2/23/2023,,140,
Samba,2/23/2023,207,230,
Nadu,2/23/2023,185,220,no
Kekulu (White),2/23/2023,169,210,
Kekulu (Red),2/23/2023,168,175,
Ponni Samba (Imp),2/23/2023,193,215,
Nadu,2/23/2023,177,,no
Kekulu (White) (Imp),2/23/2023,162,180,
Kelawalla,2/23/2023,880,1960,
Thalapath,2/23/2023,1200,1700,
Balaya,2/23/2023,600,,
Paraw,2/23/2023,950,,
Salaya,2/23/2023,280,480,
Hurulla,2/23/2023,750,,
Linna,2/23/2023,730,860,
Beans,2/22/2023,350,480,
Carrot,2/22/2023,140,240,
Cabbage,2/22/2023,40,140,
Tomato,2/22/2023,150,240,
Brinjal,2/22/2023,160,280,
Pumpkin,2/22/2023,70,140,
Snake gourd,2/22/2023,150,320,
Green Chilli,2/22/2023,300,400,
Lime,2/22/2023,110,280,
Red Onion (Local),2/22/2023,300,,
Red Onion (lmp),2/22/2023,259,440,
Big Onion (Local),2/22/2023,,,
Big Onion (Imp),2/22/2023,100,140,
Potato (Local),2/22/2023,276,360,
Potato (Imp),2/22/2023,134,170,
Dried Chilli (Imp),2/22/2023,1138,1400,
Coconut,2/22/2023,95,110,
Coconut oil,2/22/2023,671,694,
Red Dhal,2/22/2023,342,350,
Sugar,2/22/2023,216,230,
Egg,2/22/2023,44,44,
Katta,2/22/2023,1800,2500,
Sprat (Imp),2/22/2023,1000,,
Banana (Sour),2/22/2023,200,260,
Papaw,2/22/2023,240,380,
Pineapple,2/22/2023,,400,
Apple (Imp),2/22/2023,,330,
Orange (Imp),2/22/2023,,140,
Samba,2/22/2023,207,230,
Nadu,2/22/2023,189,220,no
Kekulu (White),2/22/2023,169,210,
Kekulu (Red),2/22/2023,168,175,
Ponni Samba (Imp),2/22/2023,193,210,
Nadu,2/22/2023,177,,no
Kekulu (White) (Imp),2/22/2023,162,180,
Kelawalla,2/22/2023,920,1780,
Thalapath,2/22/2023,1150,1900,
Balaya,2/22/2023,650,850,
Paraw,2/22/2023,900,,
Salaya,2/22/2023,280,480,
Hurulla,2/22/2023,900,1100,
Linna,2/22/2023,850,960,
Beans,2/21/2023,320,480,
Carrot,2/21/2023,120,200,
Cabbage,2/21/2023,40,140,
Tomato,2/21/2023,150,280,
Brinjal,2/21/2023,180,280,
Pumpkin,2/21/2023,70,160,
Snake gourd,2/21/2023,150,360,
Green Chilli,2/21/2023,300,500,
Lime,2/21/2023,110,280,
Red Onion (Local),2/21/2023,300,,
Red Onion (lmp),2/21/2023,262,440,
Big Onion (Local),2/21/2023,,,
Big Onion (Imp),2/21/2023,108,140,
Potato (Local),2/21/2023,285,360,
Potato (Imp),2/21/2023,128,170,
Dried Chilli (Imp),2/21/2023,1220,1400,
Coconut,2/21/2023,95,110,
Coconut oil,2/21/2023,671,694,
Red Dhal,2/21/2023,342,350,
Sugar,2/21/2023,216,230,
Egg,2/21/2023,44,44,
Katta,2/21/2023,1800,2800,
Sprat (Imp),2/21/2023,1000,,
Banana (Sour),2/21/2023,200,260,
Papaw,2/21/2023,180,380,
Pineapple,2/21/2023,,400,
Apple (Imp),2/21/2023,,300,
Orange (Imp),2/21/2023,,140,
Samba,2/21/2023,205,225,
Nadu,2/21/2023,188,220,no
Kekulu (White),2/21/2023,171,190,
Kekulu (Red),2/21/2023,168,175,
Ponni Samba (Imp),2/21/2023,193,210,
Nadu,2/21/2023,178,190,no
Kekulu (White) (Imp),2/21/2023,162,180,
Kelawalla,2/21/2023,950,1780,
Thalapath,2/21/2023,1150,1900,
Balaya,2/21/2023,650,850,
Paraw,2/21/2023,900,1290,
Salaya,2/21/2023,350,480,
Hurulla,2/21/2023,900,1100,
Linna,2/21/2023,800,920,
Beans,2/20/2023,320,480,
Carrot,2/20/2023,120,240,
Cabbage,2/20/2023,40,160,
Tomato,2/20/2023,150,280,
Brinjal,2/20/2023,180,240,
Pumpkin,2/20/2023,70,140,
Snake gourd,2/20/2023,150,320,
Green Chilli,2/20/2023,200,400,
Lime,2/20/2023,100,280,
Red Onion (Local),2/20/2023,273,,
Red Onion (lmp),2/20/2023,240,480,
Big Onion (Local),2/20/2023,,,
Big Onion (Imp),2/20/2023,105,150,
Potato (Local),2/20/2023,280,360,
Potato (Imp),2/20/2023,162,180,
Dried Chilli (Imp),2/20/2023,1233,1400,
Coconut,2/20/2023,95,110,
Coconut oil,2/20/2023,664,694,
Red Dhal,2/20/2023,348,360,
Sugar,2/20/2023,216,230,
Egg,2/20/2023,44,44,
Katta,2/20/2023,1800,2500,
Sprat (Imp),2/20/2023,1000,,
Banana (Sour),2/20/2023,220,280,
Papaw,2/20/2023,180,380,
