item,report_date,pettah_wholesale_today,narahenpita_retail_today,import
Orange (Imp),7/1/2025,,260,
Samba,7/1/2025,238,240,
Nadu,7/1/2025,228,230,no
Kekulu (White),7/1/2025,210,220,
Kekulu (Red),7/1/2025,210,220,
Ponni Samba (Imp),7/1/2025,230,,
Nadu,7/1/2025,210,220,no
Kekulu (White) (Imp),7/1/2025,208,210,
Kelawalla,7/1/2025,1450,2520,
Thalapath,7/1/2025,2200,,
Balaya,7/1/2025,1000,1280,
Paraw,7/1/2025,1400,1860,
Salaya,7/1/2025,600,580,
Hurulla,7/1/2025,1100,,
Linna,7/1/2025,850,1060,
Beans,6/30/2025,500,700,
Carrot,6/30/2025,200,520,
Cabbage,6/30/2025,200,400,
Tomato,6/30/2025,150,280,
Brinjal,6/30/2025,400,600,
Pumpkin,6/30/2025,120,200,
Snake gourd,6/30/2025,150,360,
Green Chilli,6/30/2025,500,800,
Lime,6/30/2025,200,600,
Red Onion (Local),6/30/2025,383,,
Red Onion (lmp),6/30/2025,360,520,
Big Onion (Local),6/30/2025,,,
Big Onion (Imp),6/30/2025,106,150,
Potato (Local),6/30/2025,303,380,
Potato (Imp),6/30/2025,160,220,
Dried Chilli (Imp),6/30/2025,650,760,
Coconut,6/30/2025,140,180,
Coconut oil,6/30/2025,853,866,
Red Dhal,6/30/2025,250,280,
Sugar,6/30/2025,215,230,
Egg,6/30/2025,31,34,
Katta (Imp),6/30/2025,1600,2800,
Sprat (Imp),6/30/2025,850,,
Banana (Sour),6/30/2025,80,160,
Papaw,6/30/2025,80,220,
Pineapple,6/30/2025,,390,
Apple (Imp),6/30/2025,,250,
Orange (Imp),6/30/2025,,260,
Samba,6/30/2025,235,240,
Nadu,6/30/2025,223,230,no
Kekulu (White),6/30/2025,213,220,
Kekulu (Red),6/30/2025,213,220,
Ponni Samba (Imp),6/30/2025,228,,
Nadu,6/30/2025,210,220,no
Kekulu (White) (Imp),6/30/2025,208,210,
Kelawalla,6/30/2025,1500,2520,
Thalapath,6/30/2025,2100,,
Balaya,6/30/2025,1000,1120,
Paraw,6/30/2025,1400,1600,
Salaya,6/30/2025,550,740,
Hurulla,6/30/2025,1200,,
Linna,6/30/2025,850,1040,
Beans,6/27/2025,550,700,
Carrot,6/27/2025,280,480,
Cabbage,6/27/2025,220,360,
